listener_id,source_id,system,completion,major_error,mos
L01,S001,Base,1,0,4
L01,S002,Base,1,0,4
L01,S003,Base,0,0,4
L01,S004,Base,0,1,4
L01,S005,Base,1,0,4
L01,S006,Base,0,1,4
L01,S007,Base,0,0,4
L01,S008,Base,0,0,5
L01,S009,Base,1,0,4
L01,S010,Base,1,0,4
L01,S011,Base,1,0,4
L01,S012,Base,0,1,4
L01,S013,Base,0,0,4
L01,S014,Base,0,0,4
L01,S015,Base,1,0,4
L01,S016,Base,1,0,4
L01,S017,Base,0,1,4
L01,S018,Base,1,0,4
L01,S019,Base,0,1,4
L01,S020,Base,1,0,4
L01,S021,Base,1,0,4
L01,S022,Base,0,1,4
L01,S023,Base,0,0,4
L01,S024,Base,0,1,4
L01,S025,Base,1,0,4
L01,S026,Base,1,0,4
L01,S027,Base,0,1,4
L01,S028,Base,1,0,4
L01,S029,Base,0,1,4
L01,S030,Base,1,0,4
L01,S031,Base,1,0,4
L01,S032,Base,1,0,4
L01,S033,Base,1,0,4
L01,S034,Base,0,0,4
L01,S035,Base,0,1,4
L01,S036,Base,0,0,4
L01,S037,Base,1,0,4
L01,S038,Base,1,0,4
L01,S039,Base,1,0,4
L01,S040,Base,1,0,4
L01,S041,Base,0,0,4
L01,S042,Base,1,0,4
L01,S043,Base,0,1,4
L01,S044,Base,0,0,4
L01,S045,Base,0,0,4
L01,S046,Base,1,0,4
L01,S047,Base,0,0,5
L01,S048,Base,1,0,4
L01,S049,Base,0,0,4
L01,S050,Base,1,0,4
L01,S051,Base,1,0,4
L01,S052,Base,0,0,4
L01,S053,Base,0,1,4
L01,S054,Base,1,0,4
L01,S055,Base,1,0,4
L01,S056,Base,1,0,4
L01,S057,Base,1,0,4
L01,S058,Base,0,1,4
L01,S059,Base,0,0,5
L01,S060,Base,1,0,4
L01,S061,Base,0,0,4
L01,S062,Base,1,0,4
L01,S063,Base,1,0,4
L01,S064,Base,1,0,4
L01,S065,Base,1,0,4
L01,S066,Base,1,0,4
L01,S067,Base,1,0,4
L01,S068,Base,0,1,4
L01,S069,Base,1,0,4
L01,S070,Base,0,1,4
L01,S071,Base,1,0,4
L01,S072,Base,1,0,4
L01,S073,Base,1,0,4
L01,S074,Base,1,0,4
L01,S075,Base,0,1,4
L01,S076,Base,1,0,4
L01,S077,Base,0,0,4
L01,S078,Base,1,0,4
L01,S079,Base,1,0,4
L01,S080,Base,1,0,4
L01,S081,Base,1,0,5
L01,S082,Base,1,0,4
L01,S083,Base,0,1,4
L01,S084,Base,1,0,4
L01,S085,Base,1,0,4
L01,S086,Base,0,0,4
L01,S087,Base,0,0,4
L01,S088,Base,1,0,4
L01,S089,Base,1,0,4
L01,S090,Base,1,0,4
L01,S091,Base,1,0,4
L01,S092,Base,1,0,4
L01,S093,Base,0,0,4
L01,S094,Base,1,0,4
L01,S095,Base,1,0,4
L01,S096,Base,0,0,4
L01,S097,Base,0,1,4
L01,S098,Base,1,0,4
L01,S099,Base,1,0,4
L01,S100,Base,0,0,4
L01,S101,Base,1,0,4
L01,S102,Base,0,1,4
L01,S103,Base,1,0,4
L01,S104,Base,1,0,4
L01,S105,Base,0,1,4
L01,S106,Base,0,1,4
L01,S107,Base,1,0,4
L01,S108,Base,1,0,4
L01,S109,Base,0,0,4
L01,S110,Base,0,0,4
L01,S111,Base,1,0,4
L01,S112,Base,0,0,4
L01,S113,Base,1,0,4
L01,S114,Base,1,0,4
L01,S115,Base,1,0,4
L01,S116,Base,0,0,4
L01,S117,Base,0,1,4
L01,S118,Base,1,0,4
L01,S119,Base,1,0,4
L01,S120,Base,1,0,4
L02,S001,Base,1,0,4
L02,S002,Base,0,0,4
L02,S003,Base,1,0,4
L02,S004,Base,0,1,4
L02,S005,Base,1,0,4
L02,S006,Base,1,0,4
L02,S007,Base,1,0,4
L02,S008,Base,0,0,4
L02,S009,Base,1,0,4
L02,S010,Base,0,1,4
L02,S011,Base,1,0,4
