source_id,article_id,text_id,length_bin,word_count,prompt_id,prompt_duration_sec,reference_text_path,audio_root,split,used_in_method_selection
S001,wiki_S001,T001,40-44,44,P01,9.05,data/reference_text/S001.txt,human_eval/audio/S001,human_eval,no
S002,wiki_S002,T002,40-44,41,P02,4.02,data/reference_text/S002.txt,human_eval/audio/S002,human_eval,no
S003,wiki_S003,T003,40-44,42,P03,9.2,data/reference_text/S003.txt,human_eval/audio/S003,human_eval,no
S004,wiki_S004,T004,40-44,43,P04,9.68,data/reference_text/S004.txt,human_eval/audio/S004,human_eval,no
S005,wiki_S005,T005,40-44,41,P05,7.86,data/reference_text/S005.txt,human_eval/audio/S005,human_eval,no
S006,wiki_S006,T006,40-44,41,P06,3.5,data/reference_text/S006.txt,human_eval/audio/S006,human_eval,no
S007,wiki_S007,T007,40-44,40,P07,4.45,data/reference_text/S007.txt,human_eval/audio/S007,human_eval,no
S008,wiki_S008,T008,40-44,42,P08,8.61,data/reference_text/S008.txt,human_eval/audio/S008,human_eval,no
S009,wiki_S009,T009,40-44,42,P09,9.3,data/reference_text/S009.txt,human_eval/audio/S009,human_eval,no
S010,wiki_S010,T010,40-44,43,P10,8.64,data/reference_text/S010.txt,human_eval/audio/S010,human_eval,no
S011,wiki_S011,T011,40-44,41,P01,7.28,data/reference_text/S011.txt,human_eval/audio/S011,human_eval,no
S012,wiki_S012,T012,40-44,43,P02,5.71,data/reference_text/S012.txt,human_eval/audio/S012,human_eval,no
S013,wiki_S013,T013,45-49,46,P03,5.8,data/reference_text/S013.txt,human_eval/audio/S013,human_eval,no
S014,wiki_S014,T014,45-49,47,P04,4.28,data/reference_text/S014.txt,human_eval/audio/S014,human_eval,no
S015,wiki_S015,T015,45-49,45,P05,9.73,data/reference_text/S015.txt,human_eval/audio/S015,human_eval,no
S016,wiki_S016,T016,45-49,47,P06,7.08,data/reference_text/S016.txt,human_eval/audio/S016,human_eval,no
S017,wiki_S017,T017,45-49,47,P07,4.37,data/reference_text/S017.txt,human_eval/audio/S017,human_eval,no
S018,wiki_S018,T018,45-49,45,P08,9.93,data/reference_text/S018.txt,human_eval/audio/S018,human_eval,no
S019,wiki_S019,T019,45-49,45,P09,4.41,data/reference_text/S019.txt,human_eval/audio/S019,human_eval,no
S020,wiki_S020,T020,45-49,47,P10,4.92,data/reference_text/S020.txt,human_eval/audio/S020,human_eval,no
S021,wiki_S021,T021,45-49,49,P01,8.3,data/reference_text/S021.txt,human_eval/audio/S021,human_eval,no
S022,wiki_S022,T022,45-49,45,P02,9.49,data/reference_text/S022.txt,human_eval/audio/S022,human_eval,no
S023,wiki_S023,T023,45-49,49,P03,7.98,data/reference_text/S023.txt,human_eval/audio/S023,human_eval,no
S024,wiki_S024,T024,45-49,46,P04,4.42,data/reference_text/S024.txt,human_eval/audio/S024,human_eval,no
S025,wiki_S025,T025,50-54,51,P05,5.71,data/reference_text/S025.txt,human_eval/audio/S025,human_eval,no
S026,wiki_S026,T026,50-54,52,P06,9.37,data/reference_text/S026.txt,human_eval/audio/S026,human_eval,no
S027,wiki_S027,T027,50-54,52,P07,10.35,data/reference_text/S027.txt,human_eval/audio/S027,human_eval,no
S028,wiki_S028,T028,50-54,52,P08,11.38,data/reference_text/S028.txt,human_eval/audio/S028,human_eval,no
S029,wiki_S029,T029,50-54,50,P09,4.13,data/reference_text/S029.txt,human_eval/audio/S029,human_eval,no
S030,wiki_S030,T030,50-54,50,P10,9.73,data/reference_text/S030.txt,human_eval/audio/S030,human_eval,no
S031,wiki_S031,T031,50-54,50,P01,4.84,data/reference_text/S031.txt,human_eval/audio/S031,human_eval,no
S032,wiki_S032,T032,50-54,52,P02,3.61,data/reference_text/S032.txt,human_eval/audio/S032,human_eval,no
S033,wiki_S033,T033,50-54,53,P03,11.24,data/reference_text/S033.txt,human_eval/audio/S033,human_eval,no
S034,wiki_S034,T034,50-54,51,P04,8.76,data/reference_text/S034.txt,human_eval/audio/S034,human_eval,no
S035,wiki_S035,T035,50-54,54,P05,5.49,data/reference_text/S035.txt,human_eval/audio/S035,human_eval,no
S036,wiki_S036,T036,50-54,53,P06,7.18,data/reference_text/S036.txt,human_eval/audio/S036,human_eval,no
S037,wiki_S037,T037,55-59,58,P07,11.4,data/reference_text/S037.txt,human_eval/audio/S037,human_eval,no
S038,wiki_S038,T038,55-59,59,P08,4.47,data/reference_text/S038.txt,human_eval/audio/S038,human_eval,no
S039,wiki_S039,T039,55-59,55,P09,8.24,data/reference_text/S039.txt,human_eval/audio/S039,human_eval,no
S040,wiki_S040,T040,55-59,57,P10,10.12,data/reference_text/S040.txt,human_eval/audio/S040,human_eval,no
S041,wiki_S041,T041,55-59,56,P01,9.95,data/reference_text/S041.txt,human_eval/audio/S041,human_eval,no
S042,wiki_S042,T042,55-59,58,P02,8.59,data/reference_text/S042.txt,human_eval/audio/S042,human_eval,no
S043,wiki_S043,T043,55-59,55,P03,4.5,data/reference_text/S043.txt,human_eval/audio/S043,human_eval,no
S044,wiki_S044,T044,55-59,56,P04,11.52,data/reference_text/S044.txt,human_eval/audio/S044,human_eval,no
S045,wiki_S045,T045,55-59,58,P05,11.0,data/reference_text/S045.txt,human_eval/audio/S045,human_eval,no
S046,wiki_S046,T046,55-59,57,P06,5.98,data/reference_text/S046.txt,human_eval/audio/S046,human_eval,no
S047,wiki_S047,T047,55-59,58,P07,9.8,data/reference_text/S047.txt,human_eval/audio/S047,human_eval,no
S048,wiki_S048,T048,55-59,59,P08,4.32,data/reference_text/S048.txt,human_eval/audio/S048,human_eval,no
S049,wiki_S049,T049,60-64,60,P09,4.09,data/reference_text/S049.txt,human_eval/audio/S049,human_eval,no
S050,wiki_S050,T050,60-64,64,P10,9.87,data/reference_text/S050.txt,human_eval/audio/S050,human_eval,no
S051,wiki_S051,T051,60-64,62,P01,8.48,data/reference_text/S051.txt,human_eval/audio/S051,human_eval,no
S052,wiki_S052,T052,60-64,60,P02,6.49,data/reference_text/S052.txt,human_eval/audio/S052,human_eval,no
S053,wiki_S053,T053,60-64,60,P03,9.59,data/reference_text/S053.txt,human_eval/audio/S053,human_eval,no
S054,wiki_S054,T054,60-64,64,P04,6.74,data/reference_text/S054.txt,human_eval/audio/S054,human_eval,no
S055,wiki_S055,T055,60-64,62,P05,6.3,data/reference_text/S055.txt,human_eval/audio/S055,human_eval,no
S056,wiki_S056,T056,60-64,64,P06,6.29,data/reference_text/S056.txt,human_eval/audio/S056,human_eval,no
S057,wiki_S057,T057,60-64,63,P07,11.32,data/reference_text/S057.txt,human_eval/audio/S057,human_eval,no
S058,wiki_S058,T058,60-64,62,P08,3.18,data/reference_text/S058.txt,human_eval/audio/S058,human_eval,no
S059,wiki_S059,T059,60-64,62,P09,5.85,data/reference_text/S059.txt,human_eval/audio/S059,human_eval,no
S060,wiki_S060,T060,60-64,61,P10,11.47,data/reference_text/S060.txt,human_eval/audio/S060,human_eval,no
S061,wiki_S061,T061,65-69,68,P01,4.16,data/reference_text/S061.txt,human_eval/audio/S061,human_eval,no
S062,wiki_S062,T062,65-69,65,P02,7.17,data/reference_text/S062.txt,human_eval/audio/S062,human_eval,no
S063,wiki_S063,T063,65-69,66,P03,8.7,data/reference_text/S063.txt,human_eval/audio/S063,human_eval,no
S064,wiki_S064,T064,65-69,65,P04,9.3,data/reference_text/S064.txt,human_eval/audio/S064,human_eval,no
S065,wiki_S065,T065,65-69,66,P05,5.65,data/reference_text/S065.txt,human_eval/audio/S065,human_eval,no
S066,wiki_S066,T066,65-69,66,P06,8.13,data/reference_text/S066.txt,human_eval/audio/S066,human_eval,no
S067,wiki_S067,T067,65-69,65,P07,10.55,data/reference_text/S067.txt,human_eval/audio/S067,human_eval,no
S068,wiki_S068,T068,65-69,68,P08,9.91,data/reference_text/S068.txt,human_eval/audio/S068,human_eval,no
S069,wiki_S069,T069,65-69,68,P09,6.71,data/reference_text/S069.txt,human_eval/audio/S069,human_eval,no
S070,wiki_S070,T070,65-69,66,P10,5.2,data/reference_text/S070.txt,human_eval/audio/S070,human_eval,no
S071,wiki_S071,T071,65-69,65,P01,10.93,data/reference_text/S071.txt,human_eval/audio/S071,human_eval,no
S072,wiki_S072,T072,65-69,68,P02,10.82,data/reference_text/S072.txt,human_eval/audio/S072,human_eval,no
S073,wiki_S073,T073,70-74,74,P03,4.82,data/reference_text/S073.txt,human_eval/audio/S073,human_eval,no
S074,wiki_S074,T074,70-74,71,P04,8.12,data/reference_text/S074.txt,human_eval/audio/S074,human_eval,no
S075,wiki_S075,T075,70-74,71,P05,7.67,data/reference_text/S075.txt,human_eval/audio/S075,human_eval,no
S076,wiki_S076,T076,70-74,73,P06,4.35,data/reference_text/S076.txt,human_eval/audio/S076,human_eval,no
S077,wiki_S077,T077,70-74,72,P07,6.65,data/reference_text/S077.txt,human_eval/audio/S077,human_eval,no
S078,wiki_S078,T078,70-74,73,P08,11.52,data/reference_text/S078.txt,human_eval/audio/S078,human_eval,no
S079,wiki_S079,T079,70-74,74,P09,5.08,data/reference_text/S079.txt,human_eval/audio/S079,human_eval,no
S080,wiki_S080,T080,70-74,71,P10,11.49,data/reference_text/S080.txt,human_eval/audio/S080,human_eval,no
S081,wiki_S081,T081,70-74,73,P01,11.53,data/reference_text/S081.txt,human_eval/audio/S081,human_eval,no
