source_id,system,audio_path,inference_seed,prompt_id,prompt_duration_sec,reference_text_id,cap_tokens,top_k,top_p,min_speech_text_ratio,checkpoint,lora_adapter,run_id,audio_sha256
S001,Base,human_eval/audio/S001/Base/seed0.wav,0,P01,9.05,T001,3705,25,0.8,2,checkpoints/cv3/Base/final.pt,checkpoints/cv3/Base/lora_final,cv3_Base_seed0_S001,bb02eea428b58b333a24fdae0209a99a03849359606f0ff2a1f426c02b6a2a0d
S001,Full-SD,human_eval/audio/S001/Full-SD/seed0.wav,0,P01,9.05,T001,3705,25,0.8,2,checkpoints/cv3/Full-SD/final.pt,checkpoints/cv3/Full-SD/lora_final,cv3_Full-SD_seed0_S001,c0b58552f41235c45a9f8a6046c759ffdf4dc8b2de28f6c15367e4a34d2d14b0
S001,Random-Local,human_eval/audio/S001/Random-Local/seed0.wav,0,P01,9.05,T001,3705,25,0.8,2,checkpoints/cv3/Random-Local/final.pt,checkpoints/cv3/Random-Local/lora_final,cv3_Random-Local_seed0_S001,b094988d722d536017661b77a1ea93f49232215e69b0c8115d74bffdb61cfa38
S001,Tail-30,human_eval/audio/S001/Tail-30/seed0.wav,0,P01,9.05,T001,3705,25,0.8,2,checkpoints/cv3/Tail-30/final.pt,checkpoints/cv3/Tail-30/lora_final,cv3_Tail-30_seed0_S001,ddac4984501851da5e4d7f1b996228e4eca02e8487cae93385cd1028314412d6
S001,Tail-SD,human_eval/audio/S001/Tail-SD/seed0.wav,0,P01,9.05,T001,3705,25,0.8,2,checkpoints/cv3/Tail-SD/final.pt,checkpoints/cv3/Tail-SD/lora_final,cv3_Tail-SD_seed0_S001,d20017519a03e532d037fbc4a5335d04c536593b9467b96418e2d385ad9036cc
S002,Base,human_eval/audio/S002/Base/seed0.wav,0,P02,4.02,T002,3710,25,0.8,2,checkpoints/cv3/Base/final.pt,checkpoints/cv3/Base/lora_final,cv3_Base_seed0_S002,05e6bf593249008ba960690c88839b8e58a137f44ece0500c5ccbeff9ff0ead6
S002,Full-SD,human_eval/audio/S002/Full-SD/seed0.wav,0,P02,4.02,T002,3710,25,0.8,2,checkpoints/cv3/Full-SD/final.pt,checkpoints/cv3/Full-SD/lora_final,cv3_Full-SD_seed0_S002,28112a1d2668521a7f3747c6740fe28083acce93560002f51d55d0c1d32b54b0
S002,Random-Local,human_eval/audio/S002/Random-Local/seed0.wav,0,P02,4.02,T002,3710,25,0.8,2,checkpoints/cv3/Random-Local/final.pt,checkpoints/cv3/Random-Local/lora_final,cv3_Random-Local_seed0_S002,ad0256316f35ad89ec6b0a8478f16f760f7887c196cb666fca0fc3643500be69
S002,Tail-30,human_eval/audio/S002/Tail-30/seed0.wav,0,P02,4.02,T002,3710,25,0.8,2,checkpoints/cv3/Tail-30/final.pt,checkpoints/cv3/Tail-30/lora_final,cv3_Tail-30_seed0_S002,4e978654bb09d3e634c89246e394763c66bab054db72cb304c702288d1b2303c
S002,Tail-SD,human_eval/audio/S002/Tail-SD/seed0.wav,0,P02,4.02,T002,3710,25,0.8,2,checkpoints/cv3/Tail-SD/final.pt,checkpoints/cv3/Tail-SD/lora_final,cv3_Tail-SD_seed0_S002,3f55afbf5853ba6df6558660db101c51c6c91ee28960e31525eaee6335b6a7c8
S003,Base,human_eval/audio/S003/Base/seed0.wav,0,P03,9.2,T003,3685,25,0.8,2,checkpoints/cv3/Base/final.pt,checkpoints/cv3/Base/lora_final,cv3_Base_seed0_S003,fcf3938ecea3b0a2aaf7491332993b0fdc0cd6e84c9fead8980d05ed8c3d5e71
S003,Full-SD,human_eval/audio/S003/Full-SD/seed0.wav,0,P03,9.2,T003,3685,25,0.8,2,checkpoints/cv3/Full-SD/final.pt,checkpoints/cv3/Full-SD/lora_final,cv3_Full-SD_seed0_S003,b190ec278c03b6c75b88903905f261cdb68294ac8a3fb145090a1ec7d047138d
S003,Random-Local,human_eval/audio/S003/Random-Local/seed0.wav,0,P03,9.2,T003,3685,25,0.8,2,checkpoints/cv3/Random-Local/final.pt,checkpoints/cv3/Random-Local/lora_final,cv3_Random-Local_seed0_S003,68ae9c177ff489e54b06fa5384e489217cc8eb28e8923362cd6bd3b8a26628dd
S003,Tail-30,human_eval/audio/S003/Tail-30/seed0.wav,0,P03,9.2,T003,3685,25,0.8,2,checkpoints/cv3/Tail-30/final.pt,checkpoints/cv3/Tail-30/lora_final,cv3_Tail-30_seed0_S003,202b81381d3289f9dba3d8de2857d444b7045496ca6f1a7e290237013a326d0a
S003,Tail-SD,human_eval/audio/S003/Tail-SD/seed0.wav,0,P03,9.2,T003,3685,25,0.8,2,checkpoints/cv3/Tail-SD/final.pt,checkpoints/cv3/Tail-SD/lora_final,cv3_Tail-SD_seed0_S003,f5f8a183781a974d1a8bca2587578d0cf2dd19d00d8bf45604e1914cd6b377c6
S004,Base,human_eval/audio/S004/Base/seed0.wav,0,P04,9.68,T004,3696,25,0.8,2,checkpoints/cv3/Base/final.pt,checkpoints/cv3/Base/lora_final,cv3_Base_seed0_S004,199628f1ad352092c766c67273b73837b136fdc10771494b71ed6b3008a4ed24
S004,Full-SD,human_eval/audio/S004/Full-SD/seed0.wav,0,P04,9.68,T004,3696,25,0.8,2,checkpoints/cv3/Full-SD/final.pt,checkpoints/cv3/Full-SD/lora_final,cv3_Full-SD_seed0_S004,cf313bb965351e2683761c2b7e8585cfb1f503d0e1df4ed0f47e482cdbc58d27
S004,Random-Local,human_eval/audio/S004/Random-Local/seed0.wav,0,P04,9.68,T004,3696,25,0.8,2,checkpoints/cv3/Random-Local/final.pt,checkpoints/cv3/Random-Local/lora_final,cv3_Random-Local_seed0_S004,d8ba9f34035caa55858bb0135421d727e0f3f950dbed70b4a0a4f94a245440d7
S004,Tail-30,human_eval/audio/S004/Tail-30/seed0.wav,0,P04,9.68,T004,3696,25,0.8,2,checkpoints/cv3/Tail-30/final.pt,checkpoints/cv3/Tail-30/lora_final,cv3_Tail-30_seed0_S004,b6d1c0b857bd6379c5342ada3afe3f7977a1694d9d25f8454d17781bb3f3b0cf
S004,Tail-SD,human_eval/audio/S004/Tail-SD/seed0.wav,0,P04,9.68,T004,3696,25,0.8,2,checkpoints/cv3/Tail-SD/final.pt,checkpoints/cv3/Tail-SD/lora_final,cv3_Tail-SD_seed0_S004,d4634c1ba8f658a9b88ee9b02896eb0a9a1badb15ce009a3829a9ce54be29fcf
S005,Base,human_eval/audio/S005/Base/seed0.wav,0,P05,7.86,T005,3710,25,0.8,2,checkpoints/cv3/Base/final.pt,checkpoints/cv3/Base/lora_final,cv3_Base_seed0_S005,e56d27e6fba7dba64d979ccdb33a159bd2d3a0e23b1379cdfded58894924b439
S005,Full-SD,human_eval/audio/S005/Full-SD/seed0.wav,0,P05,7.86,T005,3710,25,0.8,2,checkpoints/cv3/Full-SD/final.pt,checkpoints/cv3/Full-SD/lora_final,cv3_Full-SD_seed0_S005,6997e2daf89a46e213da3c031938e7319ad1ecb18b6576dd6e95dfd6cb393e4c
S005,Random-Local,human_eval/audio/S005/Random-Local/seed0.wav,0,P05,7.86,T005,3710,25,0.8,2,checkpoints/cv3/Random-Local/final.pt,checkpoints/cv3/Random-Local/lora_final,cv3_Random-Local_seed0_S005,852020b22f7c0c32ebd7aea4404c3b936ba15532953f305c584c09ced99cc0a7
S005,Tail-30,human_eval/audio/S005/Tail-30/seed0.wav,0,P05,7.86,T005,3710,25,0.8,2,checkpoints/cv3/Tail-30/final.pt,checkpoints/cv3/Tail-30/lora_final,cv3_Tail-30_seed0_S005,e4ad318ca0ebd448ddc96c58fb4d33b53e9775ea113cfca7be39ddfafdb82f4c
S005,Tail-SD,human_eval/audio/S005/Tail-SD/seed0.wav,0,P05,7.86,T005,3710,25,0.8,2,checkpoints/cv3/Tail-SD/final.pt,checkpoints/cv3/Tail-SD/lora_final,cv3_Tail-SD_seed0_S005,fcb34300f66b8757ff4ed796cac9df5a4c03d362ee5c7f3e7c414c951cf795d9
S006,Base,human_eval/audio/S006/Base/seed0.wav,0,P06,3.5,T006,3710,25,0.8,2,checkpoints/cv3/Base/final.pt,checkpoints/cv3/Base/lora_final,cv3_Base_seed0_S006,b76b1d41180c1a8cb15ac94e36a60abd5c10123ab1298a4f00499530c8d95c2f
S006,Full-SD,human_eval/audio/S006/Full-SD/seed0.wav,0,P06,3.5,T006,3710,25,0.8,2,checkpoints/cv3/Full-SD/final.pt,checkpoints/cv3/Full-SD/lora_final,cv3_Full-SD_seed0_S006,364968ca5c944a7373fe93ee55aae6f2e1e737add04f4ca1e747f7e1e59b68e6
S006,Random-Local,human_eval/audio/S006/Random-Local/seed0.wav,0,P06,3.5,T006,3710,25,0.8,2,checkpoints/cv3/Random-Local/final.pt,checkpoints/cv3/Random-Local/lora_final,cv3_Random-Local_seed0_S006,d2fcfcd363283d55b8394d8893d0e79666dc682621a1049b4d43be4ddfad42c1
S006,Tail-30,human_eval/audio/S006/Tail-30/seed0.wav,0,P06,3.5,T006,3710,25,0.8,2,checkpoints/cv3/Tail-30/final.pt,checkpoints/cv3/Tail-30/lora_final,cv3_Tail-30_seed0_S006,84d8ccac7b7ae40082ca5bd78001b51b8109f1826e2a50b3650bdb7f6f672aa7
S006,Tail-SD,human_eval/audio/S006/Tail-SD/seed0.wav,0,P06,3.5,T006,3710,25,0.8,2,checkpoints/cv3/Tail-SD/final.pt,checkpoints/cv3/Tail-SD/lora_final,cv3_Tail-SD_seed0_S006,9957d8729e02ab8d98c6a9a79b3b97733f456c65bb51c0db1e2ad15fd626ea1b
S007,Base,human_eval/audio/S007/Base/seed0.wav,0,P07,4.45,T007,3692,25,0.8,2,checkpoints/cv3/Base/final.pt,checkpoints/cv3/Base/lora_final,cv3_Base_seed0_S007,fcb8f891b2bed61db35b3ab78c25faf622f58f0e3a9af614c166e06d2a941709
